평가년도,도서관구분,도서관코드,도서관명,행정구역,시군구,장서수,사서수,대출자수,대출권수,도서예산
2022,LIBTYPE000002,2060122013,2.28민주운동기념회관(도서관),daegu,중구,51037,2,995,14710,640298
2022,LIBTYPE000002,2030111001,4.19 혁명기념 도서관,seoul,종로구,62629,3,408,6059,2222667
2022,LIBTYPE000002,2030111008,가락몰도서관,seoul,송파구,35260,4,8381,81609,241180
2022,LIBTYPE000002,2060141162,가람도서관,gyeonggi,파주시,55922,7,18535,100189,848278
2022,LIBTYPE000002,2060125008,가수원도서관,daejeon,서구,163016,3,7500,191262,1586132
2022,LIBTYPE000002,2060111042,가온도서관,seoul,중구,83276,8,5405,72458,805392
2022,LIBTYPE000002,2060141215,가재울도서관,gyeonggi,의정부시,28904,3.5,6378,39772,362065
2022,LIBTYPE000002,2060141100,가평군 설악도서관,gyeonggi,가평군,75675,2,1161,24834,577271
2022,LIBTYPE000002,2060141083,가평군 조종도서관,gyeonggi,가평군,74837,2,6099,22847,547411
2022,LIBTYPE000002,2060141143,가평군 청평도서관,gyeonggi,가평군,79135,2,1751,31359,569944
2022,LIBTYPE000002,2060141082,가평군 한석봉도서관,gyeonggi,가평군,142248,2,80645,46065,1950167
2022,LIBTYPE000002,2060125007,갈마도서관,daejeon,서구,215055,4,7455,170697,1347407
2022,LIBTYPE000002,2060111092,갈산도서관,seoul,양천구,51076,8,81765,126863,510591
2022,LIBTYPE000002,2060123011,갈산도서관,incheon,부평구,28560,3,2718,26081,320438
2022,LIBTYPE000002,2060143024,감곡도서관,chungbuk,음성군,37155,1,776,11453,261756
2022,LIBTYPE000002,2060147006,감포도서관,gyeongbuk,경주시,58184,1,164,10234,144628
2022,LIBTYPE000002,2060111054,강남구립 역삼푸른솔 도서관,seoul,강남구,41242,4,11887,63325,354833
2022,LIBTYPE000002,20601110019,강남구립못골도서관,seoul,강남구,66623,9,19105,214836,1004288
2022,LIBTYPE000002,20601110039,강남구립열린도서관,seoul,강남구,36954,6,13811,183888,795401
2022,LIBTYPE000002,2060143026,강내도서관,chungbuk,청주시,90289,2,23418,100795,499135
2022,LIBTYPE000002,2060111063,강동구립강일도서관,seoul,강동구,99217,8,11749,230410,766374
2022,LIBTYPE000002,20601110045,강동구립둔촌도서관,seoul,강동구,31303,5.5,8700,129256,557009
2022,LIBTYPE000002,2060111031,강동구립성내도서관,seoul,강동구,83979,7,11367,163958,674401
2022,LIBTYPE000002,2060111066,강동구립암사도서관,seoul,강동구,100317,6,12330,207709,730822
2022,LIBTYPE000002,20601110012,강동구립천호도서관,seoul,강동구,49260,5,9658,140693,438692
2022,LIBTYPE000002,2060111046,강동구립해공도서관,seoul,강동구,93081,7,12671,143972,812493
2022,LIBTYPE000002,2050142003,강릉교육문화관,gangwon,강릉시,186917,9,52342,109792,723366
2022,LIBTYPE000002,2060142008,강릉시립중앙도서관,gangwon,강릉시,84426,4,21832,62719,900170
2022,LIBTYPE000002,2060111005,강북문화정보도서관,seoul,강북구,214926,8,13642,248490,4507213
2022,LIBTYPE000002,2060111006,강북청소년문화정보도서관,seoul,강북구,47446,2,4285,32302,535018
2022,LIBTYPE000002,2060111082,강서구립 곰달래도서관,seoul,강서구,68914,7,12595,117021,854540
2022,LIBTYPE000002,2060111077,강서구립 등빛도서관,seoul,강서구,72085,10,14201,155357,997826
2022,LIBTYPE000002,2060111044,강서구립 푸른들청소년도서관,seoul,강서구,61056,5,17162,99618,507111
2022,LIBTYPE000002,2060111000,강서구립가양도서관,seoul,강서구,56819,7,53506,134230,924541
2022,LIBTYPE000002,2060111058,강서구립우장산숲속도서관,seoul,강서구,52092,4,30873,143116,476680
2022,LIBTYPE000002,2060821005,강서기적의도서관,busan,강서구,61432,6,12098,333824,773490
2022,LIBTYPE000002,2060811003,강서길꽃어린이도서관,seoul,강서구,60856,6,46357,162765,716103
2022,LIBTYPE000007,2060811005,강서꿈꾸는어린이도서관,seoul,강서구,64170,5,43746,164054,742493
2022,LIBTYPE000002,2060111079,강서영어도서관,seoul,강서구,39116,5,4473,115478,410590
2022,LIBTYPE000002,2060146017,강진군도서관,jeonnam,강진군,134682,4,10055,43288,758102
2022,LIBTYPE000002,2060123002,강화군립도서관,incheon,강화군,79124,4,30547,47979,253648
2022,LIBTYPE000002,2060111067,개봉도서관,seoul,구로구,34384,3,2680,44309,207567
2022,LIBTYPE000002,2060811009,개봉어린이도서관,seoul,구로구,42405,1,1896,42390,265489
2022,LIBTYPE000002,2060111059,개울건강도서관,seoul,양천구,29455,4,33073,52883,261317
2022,LIBTYPE000002,2060111018,거마도서관,seoul,송파구,50119,5,8968,80059,622517
2022,LIBTYPE000002,2060148035,거제시립수양도서관,gyeongnam,거제시,48958,2.5,62138,132696,283817
2022,LIBTYPE000002,2060148042,거제시립아주도서관,gyeongnam,거제시,27536,1.5,34281,125040,301176
2022,LIBTYPE000002,2060148025,거제시립옥포도서관,gyeongnam,거제시,59173,2,39903,40683,492092
